name,product_id,price,brand,age,images,color,shoes sizes
Women's New Balance 720 Beige/White Shoe,130609ABIW0," R 1,199.95",New Balance,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59168303.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59168303_01.jpg']]",Beige,"['4', '5', '6', '7', '8', '9']"
Women's Superga Classics Canvas Black/White Shoe,130609ABIF4, R 799.95,Superga,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59119950.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59119950_01.jpg']]",Black/White,"['1', '1.5', '2', '2.5', '3', '3.5', '4', '4.5', '5', '5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '14']"
Women's Nike Air Max Bolt Black/White Shoe,130609ABIG9," R 1,599.95",Nike,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59139905.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59139905_01.jpg']]",Black/White,"['1', '1.5', '2', '2.5', '3', '3.5', '4', '4.5', '5', '5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '14']"
Women's Nike Court Vintage Black/White Shoe,130609ABEO7," R 1,099.95",Nike,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/58945888.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/58945888_01.jpg']]",Black/White,"['4', '5', '6', '7', '8']"
Women's Superga Classics Chunky Beige/White Shoe,130609ABIY6, R 999.95,Superga,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59175660.jpg'], []]",Beige,"['1', '1.5', '2', '2.5', '3', '3.5', '4', '4.5', '5', '5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '14']"
Women's Puma Carina Meta20 Beige/Rose Gold Shoe,130609AAVF4," R 1,199.95",Puma,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57493580.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57493580_01.jpg']]",Beige,"['4', '5', '6', '7', '8']"
Women's Puma Bella SL Black Shoe,130609ABBJ3, R 999.95,Puma,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57635613.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57635613_01.jpg']]",Black,"['4', '5', '6', '7', '8']"
Women's Puma Skye Green/White Shoe,130609ABIJ8," R 1,199.95",Puma,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59145699.jpg'], []]",Green/White,"['1', '1.5', '2', '2.5', '3', '3.5', '4', '4.5', '5', '5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '14']"
Women's Superga Classics Canvas Burgundy/White Shoe,130609ABCJ2, R 799.95,Superga,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57671885.jpg'], []]",Burgundy/White,"['3', '4', '5', '5.5', '6', '7', '8']"
Women's adidas Breaknet White/Champagne Shoe,130609ABBL3, R 999.95,Adidas,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57636519.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57636519_01.jpg']]",White/Gold,"['4', '5', '6', '7', '8']"
Women's Puma Carina Crew White/Pink Shoe,130609ABIF5," R 1,099.95",Puma,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59120105.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59120105_01.jpg']]",White/Pink,"['3', '4', '5', '6', '7', '8']"
